prior,trial,true_cell,detected,n_missions,cost_used,final_p_true,final_entropy,update_form,round,split
P3_quadratic_nowit_informative,0,901,False,12,523.0,0.0013091391900670278,6.759640851542872,std,0,train
P3_quadratic_nowit_informative,1,619,False,12,523.0,0.0037713696639673604,6.759640851542872,std,0,train
P3_quadratic_nowit_informative,2,1008,False,12,523.0,0.0017518656793148527,6.759640851542872,std,0,train
P3_quadratic_nowit_informative,3,812,True,1,16.0,0.0040041666689597565,6.580665615539849,std,0,train
P3_quadratic_nowit_informative,4,155,False,12,523.0,0.0005403319340356658,6.759640851542872,std,0,train
P3_quadratic_nowit_informative,5,1553,False,12,523.0,0.00018908073463656013,6.759640851542872,std,0,train
P3_quadratic_nowit_informative,6,864,True,5,438.0,0.00163377964378067,6.693463284336811,std,0,train
P3_quadratic_nowit_informative,7,908,True,5,438.0,0.0019035970816200392,6.693463284336811,std,0,train
P3_quadratic_nowit_informative,8,261,False,12,523.0,0.0014774666133912126,6.759640851542872,std,0,train
P3_quadratic_nowit_informative,9,659,True,1,16.0,0.0033750666122464253,6.580665615539849,std,0,train
P3_quadratic_nowit_informative,10,570,False,12,523.0,0.003241479358130978,6.759640851542872,std,0,train
P3_quadratic_nowit_informative,11,1200,False,12,523.0,0.0009674287977472389,6.759640851542872,std,0,train
P4_quadratic_wit_informative,0,901,False,12,523.0,0.0013091391900670278,6.759640851542872,std,0,train
P4_quadratic_wit_informative,1,619,False,12,523.0,0.0037713696639673604,6.759640851542872,std,0,train
P4_quadratic_wit_informative,2,1008,True,7,489.0,0.0030900358296702952,6.73994193760665,std,0,train
P4_quadratic_wit_informative,3,812,False,12,523.0,0.0003378934496909659,6.759640851542872,std,0,train
P4_quadratic_wit_informative,4,155,False,12,523.0,0.0005403319340356658,6.759640851542872,std,0,train
P4_quadratic_wit_informative,5,1553,False,12,523.0,0.00018908073463656013,6.759640851542872,std,0,train
P4_quadratic_wit_informative,6,864,False,12,523.0,0.0008635876792903172,6.759640851542872,std,0,train
P4_quadratic_wit_informative,7,908,True,5,438.0,0.0019035970816200392,6.693463284336811,std,0,train
P4_quadratic_wit_informative,8,261,False,12,523.0,0.0014774666133912126,6.759640851542872,std,0,train
P4_quadratic_wit_informative,9,659,True,5,438.0,0.0003863512718485111,6.693463284336811,std,0,train
P4_quadratic_wit_informative,10,570,False,12,523.0,0.003241479358130978,6.759640851542872,std,0,train
P4_quadratic_wit_informative,11,1200,False,12,523.0,0.0009674287977472389,6.759640851542872,std,0,train
P5_mixed_nowit_informative,0,901,False,9,530.0,0.0014434704257405802,6.881252321581813,std,0,train
P5_mixed_nowit_informative,1,619,False,9,530.0,0.0029871867750884728,6.881252321581813,std,0,train
P5_mixed_nowit_informative,2,1008,False,9,530.0,0.0014429040350752004,6.881252321581813,std,0,train
P5_mixed_nowit_informative,3,812,True,1,16.0,0.003095221121495035,6.774561365820095,std,0,train
P5_mixed_nowit_informative,4,155,False,9,530.0,0.0008193806252165038,6.881252321581813,std,0,train
P5_mixed_nowit_informative,5,1553,False,9,530.0,0.00034324292238676924,6.881252321581813,std,0,train
P5_mixed_nowit_informative,6,864,False,9,530.0,0.0004108599653320019,6.881252321581813,std,0,train
P5_mixed_nowit_informative,7,908,True,3,244.0,0.0026501076517994188,6.821700306770654,std,0,train
P5_mixed_nowit_informative,8,261,False,9,530.0,0.0014208506359466675,6.881252321581813,std,0,train
P5_mixed_nowit_informative,9,659,True,1,16.0,0.00267529957753668,6.774561365820095,std,0,train
P5_mixed_nowit_informative,10,570,False,9,530.0,0.002666837968437284,6.881252321581813,std,0,train
P5_mixed_nowit_informative,11,1200,False,9,530.0,0.0013991270972279356,6.881252321581813,std,0,train
P6_mixed_wit_informative,0,901,False,10,529.0,0.000374339955779192,7.0402328923525825,std,0,train
P6_mixed_wit_informative,1,619,True,4,186.0,0.003074770802514847,6.95920146463058,std,0,train
P6_mixed_wit_informative,2,1008,False,10,529.0,0.0013135533697791189,7.0402328923525825,std,0,train
P6_mixed_wit_informative,3,812,True,2,52.0,0.0023464249517769465,6.92086754301269,std,0,train
P6_mixed_wit_informative,4,155,False,10,529.0,0.00034693161295177194,7.0402328923525825,std,0,train
P6_mixed_wit_informative,5,1553,False,10,529.0,0.00010290975702327965,7.0402328923525825,std,0,train
P6_mixed_wit_informative,6,864,True,5,472.0,0.0016396269757979094,6.98637769530661,std,0,train
P6_mixed_wit_informative,7,908,False,10,529.0,0.0016549796225102842,7.0402328923525825,std,0,train
P6_mixed_wit_informative,8,261,False,10,529.0,0.0009143198147059516,7.0402328923525825,std,0,train
P6_mixed_wit_informative,9,659,True,5,472.0,0.0017173004837879797,6.98637769530661,std,0,train
P6_mixed_wit_informative,10,570,True,4,186.0,0.00293046049068498,6.95920146463058,std,0,train
P6_mixed_wit_informative,11,1200,False,10,529.0,0.00033828623651252103,7.0402328923525825,std,0,train
P7_mixed_wit_weak,0,901,False,10,527.0,0.0007118844363082653,6.795479941289151,std,0,train
P7_mixed_wit_weak,1,619,False,10,527.0,0.004688402520932913,6.795479941289151,std,0,train
P7_mixed_wit_weak,2,1008,False,10,527.0,0.0024337823515456158,6.795479941289151,std,0,train
P7_mixed_wit_weak,3,812,False,10,527.0,0.0002363789405575286,6.795479941289151,std,0,train
P7_mixed_wit_weak,4,155,False,10,527.0,0.0006495333299266258,6.795479941289151,std,0,train
P7_mixed_wit_weak,5,1553,False,10,527.0,0.00015615555286511954,6.795479941289151,std,0,train
P7_mixed_wit_weak,6,864,True,4,410.0,0.0017352681929128655,6.712317585996544,std,0,train
P7_mixed_wit_weak,7,908,True,4,410.0,0.002990147557222335,6.712317585996544,std,0,train
P7_mixed_wit_weak,8,261,False,10,527.0,0.0010228024105951403,6.795479941289151,std,0,train
P7_mixed_wit_weak,9,659,True,3,212.0,0.0029190615756872185,6.660034238527074,std,0,train
P7_mixed_wit_weak,10,570,False,10,527.0,0.003977967613445489,6.795479941289151,std,0,train
P7_mixed_wit_weak,11,1200,False,10,527.0,0.0014161453479443497,6.795479941289151,std,0,train
P8_mixed_wit_vague,0,901,False,12,524.0,0.0010509315078651433,6.529027998838446,std,0,train
P8_mixed_wit_vague,1,619,False,12,524.0,0.004117219673936614,6.529027998838446,std,0,train
P8_mixed_wit_vague,2,1008,False,12,524.0,0.002954401708801418,6.529027998838446,std,0,train
P8_mixed_wit_vague,3,812,True,2,320.0,0.0071359391012542845,6.367283513858261,std,0,train
P8_mixed_wit_vague,4,155,True,2,320.0,0.0003516089130088906,6.367283513858261,std,0,train
P8_mixed_wit_vague,5,1553,False,12,524.0,0.00013240083898082776,6.529027998838446,std,0,train
P8_mixed_wit_vague,6,864,False,12,524.0,0.0022742651745768414,6.529027998838446,std,0,train
P8_mixed_wit_vague,7,908,True,7,508.0,0.0015503084309404544,6.502970451551637,std,0,train
P8_mixed_wit_vague,8,261,False,12,524.0,0.0005937630804725817,6.529027998838446,std,0,train
P8_mixed_wit_vague,9,659,False,12,524.0,0.0008582176210904784,6.529027998838446,std,0,train
P8_mixed_wit_vague,10,570,False,12,524.0,0.003086039953960119,6.529027998838446,std,0,train
P8_mixed_wit_vague,11,1200,True,6,496.0,0.0018449111481567406,6.500760116887727,std,0,train
P9_mixed_wit_uniform30,0,901,False,8,528.0,0.0004477965824476259,7.270086998074561,std,0,train
P9_mixed_wit_uniform30,1,619,True,5,338.0,0.002407053360546434,7.244818735007883,std,0,train
P9_mixed_wit_uniform30,2,1008,False,8,528.0,0.001050487255031859,7.270086998074561,std,0,train
P9_mixed_wit_uniform30,3,812,True,2,104.0,0.0018239330000945483,7.2081966006388045,std,0,train
P9_mixed_wit_uniform30,4,155,False,8,528.0,0.00043020872400475395,7.270086998074561,std,0,train
P9_mixed_wit_uniform30,5,1553,False,8,528.0,0.00027362056812604407,7.270086998074561,std,0,train
P9_mixed_wit_uniform30,6,864,False,8,528.0,0.0008893424596036432,7.270086998074561,std,0,train
P9_mixed_wit_uniform30,7,908,False,8,528.0,0.0012695795452708867,7.270086998074561,std,0,train
P9_mixed_wit_uniform30,8,261,False,8,528.0,0.0007943001773787488,7.270086998074561,std,0,train
P9_mixed_wit_uniform30,9,659,True,4,268.0,0.0013304864719379036,7.231522390766254,std,0,train
P9_mixed_wit_uniform30,10,570,True,6,410.0,0.0012735338944444567,7.264848015268125,std,0,train
P9_mixed_wit_uniform30,11,1200,False,8,528.0,0.00042466100964798646,7.270086998074561,std,0,train
P10_mixed_wit_uniform50_temp2,0,901,False,7,527.0,0.0004927992700987948,7.359405648568654,std,0,train
P10_mixed_wit_uniform50_temp2,1,619,True,4,337.0,0.0018283864734304676,7.345401333560066,std,0,train
P10_mixed_wit_uniform50_temp2,2,1008,False,7,527.0,0.0009027024653350278,7.359405648568654,std,0,train
P10_mixed_wit_uniform50_temp2,3,812,True,2,104.0,0.0014632996926353767,7.333134955614245,std,0,train
P10_mixed_wit_uniform50_temp2,4,155,False,7,527.0,0.0004808373803582695,7.359405648568654,std,0,train
P10_mixed_wit_uniform50_temp2,5,1553,False,7,527.0,0.00037433832810711347,7.359405648568654,std,0,train
P10_mixed_wit_uniform50_temp2,6,864,False,7,527.0,0.0006851011711870481,7.359405648568654,std,0,train
P10_mixed_wit_uniform50_temp2,7,908,False,7,527.0,0.0010517119554529458,7.359405648568654,std,0,train
P10_mixed_wit_uniform50_temp2,8,261,False,7,527.0,0.0007284639936195624,7.359405648568654,std,0,train
P10_mixed_wit_uniform50_temp2,9,659,False,7,527.0,0.0003664793409489373,7.359405648568654,std,0,train
P10_mixed_wit_uniform50_temp2,10,570,True,4,337.0,0.001757016938283451,7.345401333560066,std,0,train
P10_mixed_wit_uniform50_temp2,11,1200,False,7,527.0,0.0004770642576859932,7.359405648568654,std,0,train
P3_quadratic_nowit_informative,0,901,False,12,506.0,0.0014185983780232176,6.760588409927636,lik_x1_5,0,train
P3_quadratic_nowit_informative,1,619,False,12,506.0,0.004086699816813324,6.760588409927636,lik_x1_5,0,train
